<<<<<<< HEAD
N_tur;Tur_Publica;Tur_Privada
Inf;754808;392652
Fund;1864186;495894
Med;230810;36064
=======
N_tur;Tur_Publica;Tur_Privada
Inf;754808;392652
Fund;1864186;495894
Med;230810;36064
>>>>>>> d2ea7a59ac2250dfc9db6dcc74828ffd1c272bb5
